table	column	kind	owner	editable_after_post	sot	migration_status	documented
acc_accounts	account_kind	RAW	Accounts	yes	acc_accounts	canonical	yes
acc_accounts	account_number	RAW	Accounts	no	acc_accounts	canonical	yes
acc_accounts	bank_name	RAW	Accounts	yes	acc_accounts	canonical	yes
acc_accounts	bank_product_type	STATUS	Accounts	no	acc_accounts	canonical	yes
acc_accounts	branch_name	RAW	Accounts	yes	acc_accounts	canonical	yes
acc_accounts	card_last4	RAW	Accounts	no	acc_accounts	canonical	yes
acc_accounts	card_token	RAW	Accounts	no	acc_accounts	canonical	yes
acc_accounts	created_at	SYSTEM_INDEX	Accounts	yes	acc_accounts	canonical	yes
acc_accounts	currency	RAW	Accounts	yes	acc_accounts	canonical	yes
acc_accounts	current_balance	DERIVED	Accounts	no	acc_accounts	canonical	yes
acc_accounts	external_ref_json	RAW	Accounts	yes	acc_accounts	canonical	yes
acc_accounts	fin_account_id	RAW	Accounts	no	acc_accounts	canonical	yes
acc_accounts	iban	RAW	Accounts	yes	acc_accounts	canonical	yes
acc_accounts	id	RAW	Accounts	yes	acc_accounts	canonical	yes
acc_accounts	is_archived	RAW	Accounts	yes	acc_accounts	canonical	yes
acc_accounts	name	RAW	Accounts	yes	acc_accounts	canonical	yes
acc_accounts	notes	RAW	Accounts	no	acc_accounts	canonical	yes
acc_accounts	reconciliation_status	RAW	Accounts	yes	acc_accounts	canonical	yes
acc_accounts	role	RAW	Accounts	yes	acc_accounts	canonical	yes
acc_accounts	status	RAW	Accounts	yes	acc_accounts	canonical	yes
acc_accounts	updated_at	SYSTEM_INDEX	Accounts	yes	acc_accounts	canonical	yes
acc_transaction_links	id	RAW	Accounts	yes	acc_transaction_links	canonical	yes
acc_transaction_links	related_feature	RAW	Accounts	no	acc_transaction_links	canonical	yes
acc_transaction_links	related_id	RAW	Accounts	no	acc_transaction_links	canonical	yes
acc_transaction_links	transaction_id	RAW	Accounts	yes	acc_transaction_links	canonical	yes
acc_transactions	account_id	RAW	Accounts	yes	acc_transactions	canonical	yes
acc_transactions	amount	RAW	Accounts	no	acc_transactions	canonical	yes
acc_transactions	business_date	RAW	Accounts	yes	acc_transactions	canonical	yes
acc_transactions	created_at	SYSTEM_INDEX	Accounts	yes	acc_transactions	canonical	yes
acc_transactions	currency	RAW	Accounts	yes	acc_transactions	canonical	yes
acc_transactions	direction	RAW	Accounts	yes	acc_transactions	canonical	yes
acc_transactions	id	RAW	Accounts	yes	acc_transactions	canonical	yes
acc_transactions	memo	RAW	Accounts	yes	acc_transactions	canonical	yes
acc_transactions	operation_id	RAW	Accounts	no	acc_transactions	canonical	yes
bg_budgets	created_at	SYSTEM_INDEX	Budget	yes	bg_budgets	canonical	yes
bg_budgets	currency	RAW	Budget	yes	bg_budgets	canonical	yes
bg_budgets	id	RAW	Budget	yes	bg_budgets	canonical	yes
bg_budgets	income_source_mode	RAW	Budget	yes	bg_budgets	canonical	yes
bg_budgets	period_key	RAW	Budget	yes	bg_budgets	canonical	yes
bg_budgets	status	RAW	Budget	yes	bg_budgets	canonical	yes
bg_budgets	total_income	RAW	Budget	yes	bg_budgets	canonical	yes
bg_envelopes	assigned	RAW	Budget	yes	bg_envelopes	canonical	yes
bg_envelopes	budget_id	RAW	Budget	yes	bg_envelopes	canonical	yes
bg_envelopes	category_id	RAW	Budget	yes	bg_envelopes	canonical	yes
bg_envelopes	created_at	SYSTEM_INDEX	Budget	yes	bg_envelopes	canonical	yes
bg_envelopes	id	RAW	Budget	yes	bg_envelopes	canonical	yes
bg_envelopes	spent_snapshot	DERIVED	Budget	yes	bg_envelopes	canonical	yes
bg_transaction_links	amount	RAW	Budget	yes	bg_transaction_links	canonical	yes
bg_transaction_links	envelope_id	RAW	Budget	yes	bg_transaction_links	canonical	yes
bg_transaction_links	id	RAW	Budget	yes	bg_transaction_links	canonical	yes
bg_transaction_links	operation_id	RAW	Budget	yes	bg_transaction_links	canonical	yes
br_items	amount	RAW	Bills	yes	br_items	canonical	yes
br_items	created_at	SYSTEM_INDEX	Bills	yes	br_items	canonical	yes
br_items	currency	RAW	Bills	yes	br_items	canonical	yes
br_items	id	RAW	Bills	yes	br_items	canonical	yes
br_items	recurrence_rule	RAW	Bills	yes	br_items	canonical	yes
br_items	status	RAW	Bills	yes	br_items	canonical	yes
br_items	title	RAW	Bills	yes	br_items	canonical	yes
br_occurrences	due_date	RAW	Bills	yes	br_occurrences	canonical	yes
br_occurrences	id	RAW	Bills	yes	br_occurrences	canonical	yes
br_occurrences	item_id	RAW	Bills	yes	br_occurrences	canonical	yes
br_occurrences	occurrence_key	RAW	Bills	yes	br_occurrences	canonical	yes
br_occurrences	operation_id	RAW	Bills	yes	br_occurrences	canonical	yes
br_occurrences	paid_amount	RAW	Bills	yes	br_occurrences	canonical	yes
br_occurrences	scheduled_amount	RAW	Bills	yes	br_occurrences	canonical	yes
br_occurrences	status	RAW	Bills	yes	br_occurrences	canonical	yes
cat_categories	id	RAW	Core	yes	cat_categories	canonical	yes
cat_categories	is_active	RAW	Core	yes	cat_categories	canonical	yes
cat_categories	kind	RAW	Core	yes	cat_categories	canonical	yes
cat_categories	name	RAW	Core	yes	cat_categories	canonical	yes
cat_categories	parent_id	RAW	Core	yes	cat_categories	canonical	yes
chk_cheques	account_id	RAW	Cheque	yes	chk_cheques	canonical	yes
chk_cheques	amount	RAW	Cheque	yes	chk_cheques	canonical	yes
chk_cheques	bounced_date	RAW	Cheque	no	chk_cheques	canonical	yes
chk_cheques	bounced_reason	RAW	Cheque	yes	chk_cheques	canonical	yes
chk_cheques	cheque_number	RAW	Cheque	yes	chk_cheques	canonical	yes
chk_cheques	cleared_date	RAW	Cheque	no	chk_cheques	canonical	yes
chk_cheques	created_at	SYSTEM_INDEX	Cheque	yes	chk_cheques	canonical	yes
chk_cheques	currency	RAW	Cheque	yes	chk_cheques	canonical	yes
chk_cheques	direction	RAW	Cheque	yes	chk_cheques	canonical	yes
chk_cheques	due_date	RAW	Cheque	no	chk_cheques	canonical	yes
chk_cheques	effective_cash_date	RAW	Cheque	no	chk_cheques	canonical	yes
chk_cheques	id	RAW	Cheque	yes	chk_cheques	canonical	yes
chk_cheques	operation_id	RAW	Cheque	yes	chk_cheques	canonical	yes
chk_cheques	sayadi_id	RAW	Cheque	no	chk_cheques	canonical	yes
chk_cheques	status	RAW	Cheque	no	chk_cheques	canonical	yes
cur_currencies	code	RAW	Core	yes	cur_currencies	canonical	yes
cur_currencies	is_active	RAW	Core	yes	cur_currencies	canonical	yes
cur_currencies	minor_units	RAW	Core	yes	cur_currencies	canonical	yes
cur_currencies	name	RAW	Core	yes	cur_currencies	canonical	yes
cur_currency_preferences	base_currency	RAW	Core	yes	cur_currency_preferences	canonical	yes
cur_currency_preferences	id	RAW	Core	yes	cur_currency_preferences	canonical	yes
cur_currency_preferences	is_toman_display	RAW	Core	yes	cur_currency_preferences	canonical	yes
cur_currency_preferences	updated_at	SYSTEM_INDEX	Core	yes	cur_currency_preferences	canonical	yes
cur_exchange_rates	as_of	RAW	Core	yes	cur_exchange_rates	canonical	yes
cur_exchange_rates	conversion_path	RAW	Core	yes	cur_exchange_rates	canonical	yes
cur_exchange_rates	created_at	SYSTEM_INDEX	Core	yes	cur_exchange_rates	canonical	yes
cur_exchange_rates	from_currency	RAW	Core	yes	cur_exchange_rates	canonical	yes
cur_exchange_rates	id	RAW	Core	yes	cur_exchange_rates	canonical	yes
cur_exchange_rates	is_manual	RAW	Core	yes	cur_exchange_rates	canonical	yes
cur_exchange_rates	rate	RAW	Core	yes	cur_exchange_rates	canonical	yes
cur_exchange_rates	source	RAW	Core	yes	cur_exchange_rates	canonical	yes
cur_exchange_rates	source_priority	RAW	Core	yes	cur_exchange_rates	canonical	yes
cur_exchange_rates	to_currency	RAW	Core	yes	cur_exchange_rates	canonical	yes
dash_layouts	created_at	SYSTEM_INDEX	Dashboard	yes	dash_layouts	canonical	yes
dash_layouts	id	RAW	Dashboard	yes	dash_layouts	canonical	yes
dash_layouts	is_default	RAW	Dashboard	yes	dash_layouts	canonical	yes
dash_layouts	layout_json	RAW	Dashboard	yes	dash_layouts	canonical	yes
dash_layouts	name	RAW	Dashboard	yes	dash_layouts	canonical	yes
dash_widget_configs	config_json	RAW	Dashboard	yes	dash_widget_configs	canonical	yes
dash_widget_configs	created_at	SYSTEM_INDEX	Dashboard	yes	dash_widget_configs	canonical	yes
dash_widget_configs	id	RAW	Dashboard	yes	dash_widget_configs	canonical	yes
dash_widget_configs	layout_id	RAW	Dashboard	yes	dash_widget_configs	canonical	yes
dash_widget_configs	widget_kind	RAW	Dashboard	yes	dash_widget_configs	canonical	yes
db_meta	key	RAW	Core	yes	db_meta	canonical	yes
db_meta	value	RAW	Core	yes	db_meta	canonical	yes
docs_documents	blob_id	REFERENCE	Documents	no	docs_documents	canonical	yes
docs_documents	checksum	RAW	Docs	yes	docs_documents	canonical	yes
docs_documents	created_at	SYSTEM_INDEX	Docs	yes	docs_documents	canonical	yes
docs_documents	id	RAW	Docs	yes	docs_documents	canonical	yes
docs_documents	mime_type	RAW	Docs	yes	docs_documents	canonical	yes
docs_documents	relative_path	RAW	Documents	no	docs_documents	canonical	yes
docs_documents	size_bytes	RAW	Docs	yes	docs_documents	canonical	yes
docs_documents	storage_kind	STATUS	Documents	no	docs_documents	canonical	yes
docs_documents	storage_path	RAW	Docs	yes	docs_documents	canonical	yes
docs_documents	title	RAW	Docs	yes	docs_documents	canonical	yes
docs_documents	updated_at	SYSTEM_INDEX	Docs	yes	docs_documents	canonical	yes
docs_links	created_at	SYSTEM_INDEX	Docs	yes	docs_links	canonical	yes
docs_links	document_id	RAW	Docs	yes	docs_links	canonical	yes
docs_links	entity_id	RAW	Docs	yes	docs_links	canonical	yes
docs_links	entity_type	RAW	Docs	yes	docs_links	canonical	yes
docs_links	id	RAW	Docs	yes	docs_links	canonical	yes
exp_recurring	account_id	RAW	Expense	yes	exp_recurring	canonical	yes
exp_recurring	amount	RAW	Expense	yes	exp_recurring	canonical	yes
exp_recurring	category_id	RAW	Expense	yes	exp_recurring	canonical	yes
exp_recurring	created_at	SYSTEM_INDEX	Expense	yes	exp_recurring	canonical	yes
exp_recurring	currency	RAW	Expense	yes	exp_recurring	canonical	yes
exp_recurring	description	RAW	Expense	yes	exp_recurring	canonical	yes
exp_recurring	end_date	RAW	Expense	yes	exp_recurring	canonical	yes
exp_recurring	id	RAW	Expense	yes	exp_recurring	canonical	yes
exp_recurring	interval_kind	RAW	Expense	yes	exp_recurring	canonical	yes
exp_recurring	interval_value	RAW	Expense	yes	exp_recurring	canonical	yes
exp_recurring	is_active	RAW	Expense	yes	exp_recurring	canonical	yes
exp_recurring	next_occurrence	RAW	Expense	yes	exp_recurring	canonical	yes
exp_recurring	start_date	RAW	Expense	yes	exp_recurring	canonical	yes
exp_recurring	title	RAW	Expense	yes	exp_recurring	canonical	yes
exp_recurring	updated_at	SYSTEM_INDEX	Expense	yes	exp_recurring	canonical	yes
exp_transactions	account_id	RAW	Expense	yes	exp_transactions	canonical	yes
exp_transactions	account_transaction_id	RAW	Expense	yes	exp_transactions	canonical	yes
exp_transactions	amount	RAW	Expense	yes	exp_transactions	canonical	yes
exp_transactions	attachment_path	RAW	Expense	yes	exp_transactions	canonical	yes
exp_transactions	business_date	RAW	Expense	yes	exp_transactions	canonical	yes
exp_transactions	category_id	RAW	Expense	yes	exp_transactions	canonical	yes
exp_transactions	created_at	SYSTEM_INDEX	Expense	yes	exp_transactions	canonical	yes
exp_transactions	currency	RAW	Expense	yes	exp_transactions	canonical	yes
exp_transactions	description	RAW	Expense	yes	exp_transactions	canonical	yes
exp_transactions	exchange_rate_to_base	RAW	Expense	yes	exp_transactions	canonical	yes
exp_transactions	has_attachment	RAW	Expense	yes	exp_transactions	canonical	yes
exp_transactions	id	RAW	Expense	yes	exp_transactions	canonical	yes
exp_transactions	import_batch_id	RAW	Expense	yes	exp_transactions	canonical	yes
exp_transactions	is_voided	RAW	Expense	yes	exp_transactions	canonical	yes
exp_transactions	operation_id	RAW	Expense	yes	exp_transactions	canonical	yes
exp_transactions	recurring_id	RAW	Expense	yes	exp_transactions	canonical	yes
exp_transactions	reversed_expense_id	RAW	Expense	yes	exp_transactions	canonical	yes
exp_transactions	source_reference	RAW	Expense	yes	exp_transactions	canonical	yes
exp_transactions	source_type	RAW	Expense	yes	exp_transactions	canonical	yes
exp_transactions	updated_at	SYSTEM_INDEX	Expense	yes	exp_transactions	canonical	yes
exp_transactions	voided_at	SYSTEM_INDEX	Expense	yes	exp_transactions	canonical	yes
fg_contributions	amount	RAW	Goals	yes	fg_contributions	canonical	yes
fg_contributions	business_date	RAW	Goals	yes	fg_contributions	canonical	yes
fg_contributions	created_at	SYSTEM_INDEX	Goals	yes	fg_contributions	canonical	yes
fg_contributions	currency	RAW	Goals	yes	fg_contributions	canonical	yes
fg_contributions	goal_id	RAW	Goals	yes	fg_contributions	canonical	yes
fg_contributions	id	RAW	Goals	yes	fg_contributions	canonical	yes
fg_contributions	operation_id	RAW	Goals	yes	fg_contributions	canonical	yes
fg_goals	created_at	SYSTEM_INDEX	Goals	yes	fg_goals	canonical	yes
fg_goals	currency	RAW	Goals	yes	fg_goals	canonical	yes
fg_goals	current_amount_snapshot	DERIVED	Goals	yes	fg_goals	canonical	yes
fg_goals	funding_mode	RAW	Goals	yes	fg_goals	canonical	yes
