path	category	owner	status	action
docs/PRODUCT.md	owner	PRODUCT	CURRENT	KEEP
docs/ARCHITECTURE.md	owner	ARCHITECTURE	CURRENT	KEEP
docs/FINANCIAL-CORE.md	owner	FINANCIAL-CORE	CURRENT	KEEP
docs/DATA-MODEL.md	owner	DATA-MODEL	CURRENT	KEEP
docs/API.md	owner	API	CURRENT	KEEP
docs/REPORTING.md	owner	REPORTING	CURRENT	KEEP
docs/OFFLINE-RELEASE.md	owner	OFFLINE-RELEASE	CURRENT	KEEP
docs/DEVELOPMENT.md	owner	DEVELOPMENT	CURRENT	KEEP
docs/modules/*	module	modules	CURRENT	KEEP
docs/QUALITY-STATUS.md	status	—	CURRENT	KEEP
docs/archive/**	history	—	ARCHIVE	KEEP
docs/core/db/**	machine	DATA-MODEL	GENERATED	KEEP
docs/core/registry/**	machine	OFFLINE-RELEASE	GENERATED	KEEP
docs/core/fixtures/**	machine	OFFLINE-RELEASE	GENERATED	KEEP
fixtures/**	machine	—	GENERATED	KEEP
docs/Product-Map-*.md	legacy	PRODUCT	MERGE	DELETE_IF_ZERO_REF
docs/Technical-Architecture.md	legacy	ARCHITECTURE	MERGE	DELETE_IF_ZERO_REF
docs/API-Reference.md	legacy	API	MERGE	DELETE_IF_ZERO_REF
docs/features/**	legacy	modules	ARCHIVE	KEEP_BANNER
